position,turn,layer,n_pairs,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,dz_SSHF_SSSF
eot_u_1,1,21,160,7.944328966471001,1.1874322997617885,-5.500280205123529,2.8767441890125256,-7.3975521242913915,0.9729291232138059,7.945679836396247,1.1777955355738357,3.8302814540421513,-0.5475149975195674,3.8439737543726844,0.02097493994396583
eot_u_1,1,22,160,8.075923282276639,1.377693121578049,-4.937562099499359,3.380148992728352,-7.406853141336152,1.0217946117492094,8.072271014817325,1.3601295988702211,3.2593643689901097,-0.6177641259667636,3.2702894491259364,-0.05540142467463733
eot_u_1,1,23,160,8.25409964395558,1.5054144207679843,-5.155676743602543,3.506217725109419,-7.315253056368958,0.966021619827278,8.248929665628301,1.4883809259288676,3.1903851563332175,-0.5236127602817359,3.2017464209486817,-0.07288519579352613
eot_u_1,1,24,160,8.033920656273601,1.3527842908478527,-5.185421989109018,3.4969351657454903,-7.2850502503448435,1.0128156264398447,8.033425101447282,1.3411467747319916,3.2262306080626835,-0.5040604114536896,3.2431116279357517,-0.007154740963716593
eot_u_1,1,25,160,8.206587087694285,1.4824125337855913,-5.320252786786064,3.6380906446505517,-7.278341491457212,1.0462768612057705,8.203763896118222,1.4639045095595535,3.09284187956615,-0.4526865746422528,3.1086843815977447,-0.04122717315414992
eot_u_1,1,26,160,8.207156234836962,1.477025260919988,-5.160650510824219,3.7402401444602185,-7.195689965894782,1.0108226788054782,8.203277912416963,1.458975221189345,3.0259176143010507,-0.47026676346016977,3.0414997200042184,-0.05574457450957055
eot_u_1,1,27,160,8.116363042166078,1.4557503126205016,-4.907458764625785,3.716656683443082,-7.235136395513706,1.0815709265780529,8.11066416970926,1.4402904401465562,2.8990513524537413,-0.5367522270018796,2.9102391150624,-0.07905822732427767
eot_u_1,1,28,160,8.197039489931912,1.4799981220575433,-5.245240853669541,3.7764697460592767,-7.236411159194614,1.1167125027233913,8.19346463583799,1.4600220471174075,2.9667795540204716,-0.4465899586711213,2.9804237117193155,-0.045455820444944846
eot_u_1,1,29,160,8.158166333415355,1.489785593070018,-5.862995505493135,3.733052385270479,-7.311211719108381,1.270884983344001,8.159453365924223,1.4674707184892355,3.1119692670028747,-0.32089145181065276,3.127894472745425,0.01322378132628805
eot_u_1,1,30,160,8.205741052633932,1.5650192230633502,-5.8851694898847535,3.8194131146557293,-7.256083209923004,1.291786491834437,8.205156648587366,1.5442105483166333,3.119842052751573,-0.2984381358273256,3.1341639497914304,-0.005693685626187177
eot_u_1,1,31,160,8.05766455177798,1.538213515576571,-6.022831312540354,3.6695307924637155,-7.23632931027147,1.2393449647829538,8.054178726261615,1.5181278556796716,3.1881494208960652,-0.27702933152700543,3.1961707693917276,-0.034378389268883515
eot_u_2,2,0,160,-2.6029991467524507,2.920200004360454,-5.651065312308967,2.905950867828899,-12.162409968317366,2.0098338144498458,-2.788983025417468,2.841631065677737,0.6693665640458698,-1.9142756403623764,0.6428601752593007,-0.06131773345514237
eot_u_2,2,1,160,4.5628181150446645,2.237373314894451,-3.3921401802904745,3.211327129596828,-7.731157669853397,2.464580845930457,4.330071949955813,2.353811972671688,3.0672099530854084,-1.0480054345199317,3.2939398175730568,-0.12964397192281754
eot_u_2,2,2,160,4.207250631208765,0.9810779214768419,-7.1899532887644355,3.094679934956986,-8.923734060195772,2.067761277141146,4.241656359710902,1.0842039555533818,4.099620074351016,-0.5905238325320099,4.075860740894607,0.03499826203185601
eot_u_2,2,3,160,6.609361951465987,1.3705660930549846,-4.950332461437171,1.9215581025905506,-6.120823365917845,1.3946756925933017,6.601917678687518,1.4934668883710165,5.157724521929354,-0.4769074712521319,4.957373298027819,-0.00966532664376692
eot_u_2,2,4,160,5.852896906365915,1.4454225246763235,-4.488788519066553,2.4882763157371626,-5.79358095933488,1.396864367104789,5.7914148028422705,1.5088985596387412,4.501288936193532,-0.4474919694032012,4.330929511311269,-0.08403925541036521
eot_u_2,2,5,160,6.807936662310238,2.0250435079979567,-4.611638374226634,1.6857911870955553,-5.449830547119408,1.2973741976173974,6.715806133636951,2.0736895581585135,3.570756897317124,-0.36332131063953743,3.450977867878,-0.14208365973124037
eot_u_2,2,6,160,5.924334470146653,1.4010939593361993,-5.676982774065962,1.9591619185131945,-8.835695755247428,0.834213607580596,5.880560745277218,1.4082765934931392,4.263635986732007,-1.5988943566503286,4.207077921262334,-0.09162512175239428
eot_u_2,2,7,160,6.624485742786692,1.0241900321700759,-3.285776821292896,2.221298224622705,-7.303203749380427,0.7422649751627568,6.574015398971644,1.0296403420929852,4.0601652923630525,-1.764704173720841,3.955312364211945,-0.11708728912411528
eot_u_2,2,8,160,7.420812782705113,1.209449581753735,-3.1968727262343535,1.7359442356880976,-6.408947502234007,0.6343461574769741,7.392932565124431,1.230869357161422,6.40831635371533,-1.6236008810640419,6.204198746201318,-0.06107243364825146
eot_u_2,2,9,160,7.164889953716388,0.9899120444960734,-3.4800987520913793,1.9717476185691702,-5.423991953924086,0.7086309667794759,7.166631433158227,1.0296717803716497,4.84573278743075,-0.879951601628435,4.857556981529982,0.003778331376221194
eot_u_2,2,10,160,6.119809170733513,0.9208470655561389,-3.691175330270771,1.6260518687971972,-6.048326384022087,0.6000406301026632,6.116915285761818,0.9160091316616314,5.04163368901471,-1.1843793599394374,5.130240975703522,-0.00827377052822478
eot_u_2,2,11,160,6.2613600392995306,0.9353789254763696,-3.405880013220589,1.5253404003848372,-5.377499255670831,0.42264264897781423,6.231927259303752,0.9491845078356801,5.654385092594838,-1.2518266320493414,5.701351772764657,-0.07025441544223311
eot_u_2,2,12,160,7.19220259486289,0.9917265800299788,-4.302089688856554,1.5801670513590789,-5.307094143857826,0.7557665545538654,7.167187923304203,0.9825943800863391,5.855068101176582,-0.5778093082818254,5.91726986770239,-0.05234165933374747
eot_u_2,2,13,160,7.63366295116977,1.2557203045600127,-3.821592040049969,1.6864401302550034,-4.196742507403732,0.9167510516122982,7.604137853327646,1.266925194460468,5.209262933325898,-0.19158023558928855,5.11792322833918,-0.058287748977772315
eot_u_2,2,14,160,7.736267263774289,1.2113790074494946,-3.333584065013949,1.4330716708015376,-4.1464571047937255,1.167105180925916,7.713126652360167,1.1969571817468607,6.567126430284157,-0.40606317537187314,6.514770543957877,-0.05320107601052956
eot_u_2,2,15,160,8.04598503974175,1.4514793217413187,-3.229960516225063,1.5950378491253532,-3.876266145252388,1.181713114692766,8.029778514511406,1.4347623570660775,6.265067519537992,-0.33729395414145985,6.096804499344963,-0.028821449544244843
eot_u_2,2,16,160,7.974884453802415,1.5662512902576262,-3.577494138965035,1.6846807946165163,-4.422495476145596,1.0623228612184472,7.9556244866242,1.5437728176248773,5.9640707729781495,-0.4136169123423786,5.81200103016966,-0.031155064207040523
eot_u_2,2,17,160,7.657986004331372,1.6207549336804248,-3.4640203091552513,1.637348056477708,-4.305175103836254,0.8527249091451415,7.646743464796179,1.5789859410934866,5.739917086634104,-0.38752381849202433,5.62735838335267,-0.01902503955921937
eot_u_2,2,18,160,8.044927395435355,1.2695295476678095,-3.770378057106811,1.625492737877488,-4.569661205700443,0.8223590402434505,8.059242303332244,1.227452206780812,6.441149150380822,-0.36967152447017304,6.3299693356960125,0.023281791257462978
eot_u_2,2,19,160,8.211008877125332,1.444895897149663,-3.9302567944290616,1.6786183008676026,-5.113771931518838,0.6842383384974192,8.20968925503189,1.3853366534250013,6.495641679775575,-0.567759700476035,6.403217440610888,-0.0018229418616923405
eot_u_2,2,20,160,7.8364865243838295,1.4361554501195493,-3.485330224181434,1.4489412759951232,-4.321376542282618,0.7290600684801399,7.838228499818683,1.39071158671963,6.18123873238351,-0.4323351899885604,6.198549021877392,0.002394067116594286
eot_u_2,2,21,160,7.614374464853503,1.5775157072930062,-3.2196739023931875,1.1282718802079719,-3.5703944757116433,0.6942091446186861,7.59830934501615,1.5145484865736418,6.365907709334782,-0.2155434889304817,6.475305693501293,-0.02133110216363636
eot_u_2,2,22,160,5.40040554834831,1.5840122838850603,-3.6004673403459706,0.7843287234906504,-4.12484199559224,0.7792363935476558,5.374382381688597,1.5235542074478372,5.293722383781271,-0.3712640745494253,5.374907485515483,-0.03255882707972257
eot_u_2,2,23,160,5.717469416742718,1.4480432476602698,-3.8661612775798133,0.9073339491227495,-3.945873630530785,0.6697274141197866,5.656725205070843,1.389318623530466,5.918695239816284,-0.05719303592215012,5.919901880535553,-0.08010726780633175
eot_u_2,2,24,160,4.934048208601716,1.4995816061538854,-3.627986568910729,0.7958951650322615,-4.077397419505205,0.6189402277437994,4.889474929861427,1.4389619979441561,4.6256312275571325,-0.39984289296214304,4.658036422110913,-0.05871049517784871
eot_u_2,2,25,160,4.731008018242308,1.4699973595995883,-3.5247021170144883,0.6628587830823867,-3.976605968042476,0.5605067380711433,4.693876117728242,1.4465768257647367,4.800520499695449,-0.4439163664042338,4.735289797936042,-0.047770120648875564
eot_u_2,2,26,160,4.309680443456459,1.5994600364194234,-3.5112786034643704,0.7481539203032569,-4.326583364080035,0.6403922510618122,4.259151194042957,1.5597393763153489,3.9837101867590663,-0.8160050609189486,3.975405019658768,-0.06642310410169136
eot_u_2,2,27,160,4.1803001212862885,1.3431072778634048,-2.9186599608715804,0.7269366800540578,-4.077303628993311,0.598880963909792,4.158482658536829,1.305033737658491,3.895261510997219,-1.4174699635685415,3.902433993139836,-0.027263291021574654
eot_u_2,2,28,160,3.636138601589818,1.4177657694592896,-3.3238334234226388,0.7856596823595272,-4.234763163731737,0.6298580739575698,3.624975191847331,1.3729811260012954,3.6355871810822933,-1.083570727656596,3.6728571473053715,-0.013741700683633474
eot_u_2,2,29,160,3.1395798117782285,1.3022081118533344,-4.463225564587883,1.1226565147667968,-4.797212916537523,0.6630280117325863,3.1034792642488176,1.271892079450386,3.7752789140937506,-0.3082051890466832,3.7719360017669725,-0.04810041012976323
eot_u_2,2,30,160,3.060749654413435,1.3547617015318825,-4.713971811762682,1.349063308787184,-5.05565616815049,0.6311454542541793,3.0301174573327687,1.3481547900642326,3.495308977318971,-0.2627285880997425,3.4650351142412803,-0.04042867676212486
eot_u_2,2,31,160,2.5829999077250805,1.4403023244310191,-5.708677657878795,1.4385842624370138,-6.31123499094403,0.6567938395400017,2.572276537304656,1.4384328840169047,3.6855597337745896,-0.4478182831665744,3.6580926319663263,-0.013111865127850984
eot_u_3,3,0,160,-2.0233303385727415,2.402392351400929,-6.364501283773795,3.3428005123173996,-12.591382877437294,2.407193721560225,-7.777982687988606,2.4225300842870805,1.0377512851118746,-1.7775520363463666,-0.3793041599265329,-1.6733231965366742
eot_u_3,3,1,160,0.9860398323762574,1.153449691231508,-5.056233901363255,3.906763462023239,-9.800216154071597,2.374186755994354,-4.041907989302084,2.261369622926817,1.6594071344240184,-1.1975535618024407,0.3274453309463142,-2.1030737696880633
eot_u_3,3,2,160,4.169424881815945,0.948134810291845,-8.559606297276392,3.033026640973592,-9.432710072429256,1.8963259708019793,-6.023186715452759,1.5220527570321711,4.044920429584939,-0.32711071451484103,0.9112440582803966,-4.790375267713157
eot_u_3,3,3,160,8.89321620305861,1.6581467932563196,-4.923589545433432,1.9689760252756041,-5.809847613097461,1.2057513676101803,-4.263668256851263,1.217965174983998,5.401514949466468,-0.402701090013313,0.281779222814254,-5.861629209783247
eot_u_3,3,4,160,7.224951156624836,1.4902602347862504,-4.0630441913079025,2.3050287161390037,-5.546883334778755,1.0372131188863232,-4.118759173371072,1.4785658704198348,5.467538668859104,-0.6241195159661156,-0.019916056585070074,-5.018872991667399
eot_u_3,3,5,160,7.308364820126255,1.5032483703096529,-3.9005091348782885,1.9419511806672825,-4.6126794816332355,0.8776980541105021,-3.2747307841509623,1.2707349934128418,8.379240018421973,-0.350926013835079,0.3077882122477392,-5.575515112411601
eot_u_3,3,6,160,5.787238064637322,1.135574651763199,-6.112168673782572,1.0765152682697636,-8.729248523727188,0.8675807077941313,-8.209581138596224,1.2829704461929883,9.034964260827538,-2.2484720754501075,-1.4684449892490594,-7.7326190077945585
eot_u_3,3,7,160,5.854549477238129,0.8044803202157221,-3.051362445126875,1.3008549039288384,-6.758229773507364,1.1018072028988855,-6.124469796154558,0.9650892279140095,7.952380292263943,-3.1909152648934507,-2.888739705928039,-12.629053685759914
eot_u_3,3,8,160,7.2100449668353495,1.1505694220094553,-2.893922755068907,1.1235584011499813,-6.213107476755698,1.3270778423853526,-5.6801220511884285,1.325130262174363,5.6586963313561185,-3.278061708432876,-2.973849021364181,-6.2590448749034095
eot_u_3,3,9,160,7.035461418630765,1.0093861592214917,-3.020240755664511,1.2185097966457532,-4.9174423619762795,0.824989858683518,-5.072373165232253,1.1177158485918222,5.8878449679157745,-2.0187559609207253,-1.5682145739478726,-6.673920406553295
eot_u_3,3,10,160,6.282178353597134,0.8612681827113935,-3.863864986760917,1.196114436919386,-5.935588041418145,0.7025883144275139,-6.425928159733137,0.7492443252106843,6.38148398044127,-2.9888562378433665,-2.660038222146144,-9.599267484547731
eot_u_3,3,11,160,6.292822750267966,0.8259409890941093,-3.392054491198434,1.0515008075595,-4.586863258559077,0.697110693719811,-6.622351079790329,0.7276019166980198,7.3146099839470615,-1.7821184888202353,-2.2423416657511788,-11.555410314370869
eot_u_3,3,12,160,6.861466180439274,0.8959347895691626,-4.274303173218096,1.5156837905965233,-4.375555851488061,0.835915645155242,-6.48675216801094,0.861443562348986,7.253475989065478,-0.09067910120224805,-1.1606834944481559,-10.136836056142593
eot_u_3,3,13,160,6.6566369885939904,0.8766422464637306,-3.571885874459889,1.5892234583244604,-3.314140491436791,0.7940914418180929,-6.020404668872578,0.9032005766501631,6.082645350647987,0.22516604047377883,-1.4189452242622858,-10.907614172540374
eot_u_3,3,14,160,7.047891539465897,0.6941679727625462,-3.7426416506938396,1.7280968587317267,-3.4348873828845234,1.0343576935196337,-6.157755055953149,0.9139497910369921,6.045788503551499,0.23511133858720581,-1.2322441650491804,-12.91357894636734
