probe,strength,layer,A,B,C,D,E,sd_A,sd_B,sd_C,dz_B_C,dz_B_A,dz_C_A,dz_D_A,dz_E_A
P2,0.25,14,-0.8954427658989698,-0.8340458671247731,-0.928150556799116,-0.9202028966350111,-1.1361552900308163,1.0540903044003034,1.0145915212226477,1.026352579130597,0.3325378314176649,0.21652091291494516,-0.20781362437556045,-0.12155293392351281,-0.9507835997333857
P2,0.25,15,-1.0746328729332282,-1.052345800474727,-1.1026562966559283,-1.104190936835081,-1.4691023736199271,1.0861634973061014,1.0492558130579135,1.089966554930284,0.2348981933100732,0.09650738244134385,-0.22259204500578864,-0.2642393973179036,-1.417613632280045
P2,0.25,16,-1.7392257595730551,-1.681014800557651,-1.7723325413275481,-1.7595046722537515,-2.3324456608216755,1.0301487600571537,1.041490866202866,1.022428220839895,0.3478874513942311,0.20837336965612988,-0.18279283459223614,-0.11209338807172586,-1.6426090978125276
P2,0.25,17,-1.253519353721082,-1.132261637936239,-1.2841732849599414,-1.2341170821331293,-1.433600333007789,1.5588224006236513,1.5922607633353691,1.5536769163796764,0.5627579929997939,0.42441789882304903,-0.1606384162672858,0.08481103227178399,-0.7673614477037993
P2,0.25,18,-1.3445095703561347,-1.2245618852892661,-1.3805583782327933,-1.3738195440889824,-1.4135738491772853,1.515065164373719,1.5048915114450534,1.4302600988101237,0.44269665213812465,0.3442096491660828,-0.15038410955472445,-0.12234964871988895,-0.19895174096889814
P2,0.25,19,-1.7564608422990997,-1.6754798690832495,-1.8009991741499103,-1.7661459052915234,-2.008305977183118,1.4365931614598308,1.4101131177222832,1.3990020266250422,0.48822080797108247,0.31479048045398134,-0.2090157991369334,-0.05409162258595623,-0.9840538140504995
P2,0.25,20,-2.1620651767831314,-2.0426903873146824,-2.168659300035593,-2.2057930072430554,-2.35946855978765,2.725513954363117,2.7372065923565825,2.777412587121556,0.30629314420315523,0.31616276642341473,-0.022125841014543617,-0.14096787570493166,-0.4347988119615511
P2,0.25,21,-1.8548559833482527,-1.7766917236565245,-1.9060108646029903,-1.9033505191816154,-1.8350740805247177,1.4617025190438016,1.4329182036480974,1.459687601408924,0.39036654542679444,0.2685841598831901,-0.22067436146374597,-0.2591973461251424,0.056613225408661545
P2,0.25,22,-1.2359446356590997,-1.124128824226171,-1.2468801288188827,-1.3032399751967811,-1.1831309773308694,2.7542244035391983,2.769789632992865,2.7623402167711797,0.2693592690103897,0.2667162051728058,-0.03474550042327613,-0.21865989065562821,0.09706619847261308
P2,0.25,23,-0.4537974291250828,-0.34511861164129687,-0.489123693546059,-0.5197983872704894,-0.7899150059133866,2.145173202458924,2.1594377189733365,2.2087032291090463,0.29035180835707225,0.21490879746835206,-0.1048013272539514,-0.19724336521834834,-0.6178210857607696
P2,0.25,24,0.7122797012982265,0.8022036261679171,0.6668532766188433,0.6374261851988027,0.19246716411741133,2.2086449269727275,2.198248451914562,2.2445541711832586,0.2846760102578364,0.19234017855231395,-0.1392835212552958,-0.24557969562657173,-0.8519008342266745
P2,0.25,25,1.2059859309283358,1.2982348018587042,1.1688652436210714,1.16737286994158,0.27291604942053577,2.073709049323,2.049808554901933,2.11215471111357,0.267847403063739,0.18848983843462536,-0.10692275606084285,-0.12084755436245105,-1.5798938627796857
P2,0.25,26,1.6591564304478854,1.7377125603840617,1.6417331195437548,1.6280832070346147,0.8154150486751638,2.0715431881320963,2.149067238933603,2.1719460815045095,0.1812529919850085,0.14754546921788908,-0.04333867337681121,-0.08429555779980964,-1.0079099182431257
P2,0.25,27,0.10975489167005961,0.17511991794925869,0.05055154503117536,0.014700130593460647,-1.32651632984302,3.8400740316281725,3.966085921367305,4.021012025835965,0.1782939193064977,0.10067884223498393,-0.1018542046865979,-0.20528094431656033,-1.1016277128229628
P2,0.25,28,-0.23431185326379747,-0.14062383686507368,-0.2785371502099989,-0.3381031458258877,-1.6953935645100497,3.2295844857707316,3.447318432943053,3.397137029451484,0.20782090991103536,0.13408291094104785,-0.08625361939784576,-0.2201824887172841,-1.1188728548370286
